ticker,name,price,fetched_at,c1_price_vs_52w_low_passes,c1_price_vs_52w_low_value,c2_market_cap_passes,c2_market_cap_value,c3_eps_growth_passes,c3_eps_growth_value,c4_avg_volume_passes,c4_avg_volume_value,c5_price_vs_sma50_passes,c5_price_vs_sma50_value,c6_volatility_1m_passes,c6_volatility_1m_value,c7_revenue_growth_passes,c7_revenue_growth_value,c8_float_passes,c8_float_value,c9_us_market_passes,c9_us_market_value,passes_all,error
AACI,Armada Acquisition Corp. III,10.0,2026-07-06T23:38:55.280842+00:00,False,+2.7%,True,$340.3M,,N/A,False,24.7K,True,$10.00 / SMA $9.95,False,0.08%,,N/A,True,25.1M,True,NGM,False,
AAUKF,Anglo American plc,50.55,2026-07-06T22:58:32.408565+00:00,True,+86.0%,True,$54163.7M,,N/A,False,3.1K,False,$50.55 / SMA $51.63,False,0.60%,,N/A,False,951.4M,False,OQX,False,
AAVMY,ABN AMRO Bank N.V.,44.33,2026-07-06T22:58:38.045734+00:00,False,+63.2%,True,$36126.1M,False,+13.0%,False,23.0K,True,$44.33 / SMA $38.61,False,1.38%,False,+6.8%,False,522.4M,False,PNK,False,
AB,AllianceBernstein Holding L.P.,36.83,2026-07-06T23:02:11.545694+00:00,False,+5.5%,True,$3440.1M,True,+37.3%,False,305.3K,False,$36.83 / SMA $37.32,False,1.90%,False,+11.5%,True,92.6M,True,NYQ,False,
ABBRF,AbraSilver Resource Corp.,9.93,2026-07-06T23:04:13.589381+00:00,True,+183.4%,True,$1598.4M,False,+-50.0%,False,177.8K,False,$9.93 / SMA $11.58,True,8.54%,,N/A,True,137.9M,False,OQX,False,
ABM,ABM Industries Incorporated,44.4,2026-07-06T23:02:35.236573+00:00,False,+20.1%,True,$2601.0M,False,+9.0%,True,567.5K,True,$44.40 / SMA $41.41,False,2.84%,False,+8.4%,True,57.9M,True,NYQ,False,
ABR,"Arbor Realty Trust, Inc.",4.98,2026-07-06T23:04:28.457656+00:00,False,+0.2%,True,$1038.5M,False,+-100.0%,True,4226.7K,False,$4.98 / SMA $5.96,True,4.13%,False,+-12.3%,False,184.0M,True,NYQ,False,
ACA,"Arcosa, Inc.",145.38,2026-07-06T23:00:42.776142+00:00,True,+77.5%,True,$7139.1M,True,+60.4%,True,521.7K,True,$145.38 / SMA $129.24,False,2.07%,False,+4.4%,True,48.1M,True,NYQ,False,
ACAA,Averin Capital Acquisition Corp.,10.19,2026-07-06T23:38:52.973156+00:00,False,+6.6%,True,$363.6M,,N/A,False,12.5K,True,$10.19 / SMA $9.96,False,0.20%,,N/A,True,26.0M,True,NGM,False,
ACCO,ACCO,4.1,2026-07-06T23:38:53.468430+00:00,False,+45.9%,,N/A,True,+242.9%,True,993.7K,True,$4.10 / SMA $3.85,True,3.14%,False,+8.3%,True,88.0M,True,NYQ,False,
